名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
是什麼讓我遇見這樣的你,白安,,麥田捕手,,,,,,Mandopop,9252156,265,1,1,10,10,2012,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/21 20:45,,,,
所愛之初,白安,,44天 - EP,,,,,,Mandopop,7862598,216,1,1,1,6,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
讓我逃離平庸的生活,白安,,1990s,,,,,,Mandopop,10250965,290,1,1,1,10,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/21 18:54,,,,
惡之必要,JOLIN蔡依林,RAZOR Chiang & Starr Chen,Ugly Beauty,,,,,,Mandopop,8137884,228,1,1,1,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/23 20:18,,,,
玫瑰少年,JOLIN蔡依林,JOLIN & RAZOR Chiang,Ugly Beauty,,,,,,Mandopop,6828946,191,1,1,2,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/20 00:39,,,,
怪美的,JOLIN蔡依林,"JOLIN, Rhys Fletcher, Stan Dubb, Starr Chen, Richard Craker & Yun-Hui Hong",Ugly Beauty,,,,,,Mandopop,6546715,182,1,1,3,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/27 02:35,,,,
你也有今天,JOLIN蔡依林,"JOLIN, Hayley Michelle Aitken & Johan Gustafsson",Ugly Beauty,,,,,,Mandopop,6606746,186,1,1,4,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,5.0,2025/5/24 00:56,,,,
紅衣女孩,JOLIN蔡依林,"Nese, Mei-Lian Wang, Karencici & Jeff Bova",Ugly Beauty,,,,,,Mandopop,7005856,194,1,1,5,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,5.0,2025/5/23 20:25,,,,
甜秘密,JOLIN蔡依林,"JOLIN, Olof Lindskog, Hayley Michelle Aitken & Johan Moraues",Ugly Beauty,,,,,,Mandopop,7478226,207,1,1,6,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/24 01:09,,,,
愛的羅曼死,JOLIN蔡依林,Victor Lau,Ugly Beauty,,,,,,Mandopop,9935511,281,1,1,7,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/24 00:44,,,,
如果我沒有傷口,JOLIN蔡依林,Xiao Yu,Ugly Beauty,,,,,,Mandopop,10463852,301,1,1,8,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/9 03:46,,,,
Hubby,Jolin Tsai,"Jolin Tsai, Rhys Fletcher, Stan Dubb, Richard Craker, Alex Syps & Yun-Hui Hong",Ugly Beauty,,,,,,Mandopop,6250422,172,1,1,9,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/9 18:12,,,,
消極掰,JOLIN蔡依林,"Sam Fishman, Jazelle Rodriguez & Samual Petersen",Ugly Beauty,,,,,,Mandopop,6533296,182,1,1,10,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/9 18:15,,,,
你睡醒再看,JOLIN蔡依林,"JOLIN, Mickey Lin & Yu-Shen He",Ugly Beauty,,,,,,Mandopop,7728420,221,1,1,11,11,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/26 03:44,,,,
少女,林宥嘉,,少女 - Single,,,,,,Mandopop,8325834,235,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,5.0,2025/5/27 01:19,,,,
兜圈,林宥嘉,,《必娶女人》電視原聲帶,,,,,,TV Soundtrack,8697103,245,1,1,2,10,2015,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 19:50,,,,
別讓我走遠 (電視劇《我們與惡的距離》主題曲),林宥嘉,,別讓我走遠 (電視劇《我們與惡的距離》主題曲) - Single,,,,,,Mandopop,7114186,199,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/24 01:12,,,,
成全 (Live),林宥嘉,,THE GREAT YOGA 演唱會 (數位Live精選),,,,,,Mandopop,11298331,309,1,1,14,16,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,,,,,
Resurgence,JJ Lin,JJ Lin,Resurgence - Single,,,,,,Mandopop,7794091,217,1,1,1,1,2018,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 20:53,,,,
對的時間點,林俊傑,JJ Lin,對的時間點 - Single,,,,,,Mandopop,8606380,242,1,1,1,1,2019,2022/12/28 12:57,2023/11/28 03:31,256,44100,,Apple Music AAC音訊檔,,,35.0,2025/7/6 15:14,,,,
偉大的渺小,林俊傑,JJ Lin,偉大的渺小,,,,,,Mandopop,9593420,277,1,1,2,9,2017,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
蜂鳥 (電視劇《我在北京等你》片頭曲),吳青峰,Qing Feng Wu,蜂鳥 (電視劇《我在北京等你》片頭曲) - Single,,,,,,Mandopop,7948900,225,1,1,1,2,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/11/11 02:28,,,,
"起風了 (電視劇《加油, 你是最棒的》主題曲)",吳青峰,Yuu Takahashi,"電視劇《加油, 你是最棒的》原聲帶",,,,,,TV Soundtrack,11034520,313,1,1,1,24,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/23 21:02,,,,
歌頌者,吳青峰,Qing Feng Wu,歌頌者 - Single,,,,,,Mandopop,10748797,309,1,1,1,1,2019,2022/12/28 12:57,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/23 21:57,,,,
