名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
Lost Control,Alan Walker & Sorana,"Alan Walker, Thomas Troelsen, Anders Froen, Sorana Pacurar, Fredrik Borch Olsen & Magnus Martinsen",Different World,,,,,,Dance,8044713,222,1,1,2,14.0,2018,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
I Don't Wanna Go,Alan Walker & Julie Bergan,"Alan Walker, Edvard Normann, Emelie Hollow, Kristoffer Haugan, Lars Kristian Rosness, Jesper Borgen, Øyvind Sauvik, Gunnar Greve & Frederik Tao Nordsø Schjoldan",Different World,,,,,,Dance,5883325,161,1,1,3,14.0,2018,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/21 02:20,,,,
Lily,"Alan Walker, K-391 & Emelie Hollow","Alan Walker, Emelie Hollow, Lars Kristian Rosness, Magnus Bertelsen, Kenneth Nilsen, Didrik Håndlykken, Marcus Arnbekk & oda evjen gjovåg",Different World,,,,,,Dance,7133299,195,1,1,4,14.0,2018,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/21 01:04,,,,
Do It All for You,Alan Walker & Trevor Guthrie,"Alan Walker, Trevor Guthrie, Jesper Borgen, Marcus Arnbekk, Anders Froen, Jason Dean, Joe Kirkland, Lars Kristian Rosness, Kristoffer Haugan, Edvard Normann & Ryan Stewart",Different World,,,,,,Dance,6278399,174,1,1,6,14.0,2018,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
Different World (feat. CORSAK),"Alan Walker, K-391 & Sofia Carson","Alan Walker, Kenneth Nilsen, Mengzhou Hu, SHY Martin, Magnus Bertelsen, Fredrik Borch Olsen, James Daniel Njie Eriksen, Marcus Arnbekk & Gunnar Greve",Different World,,,,,,Dance,7302939,202,1,1,7,14.0,2018,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/21 01:42,,,,
Interlude,Alan Walker,"Alan Walker, Marcus Arnbekk & Jesper Borgen",Different World,,,,,,Dance,3155118,79,1,1,8,14.0,2018,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
Sing Me to Sleep,Alan Walker,"Alan Walker, Jesper Borgen, Anders Froen, Iselin Solheim, Gunnar Greve, Tommy La Verdi & Magnus Bertelsen",Different World,,,,,,Dance,7021136,187,1,1,9,14.0,2016,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/21 01:59,,,,
All Falls Down (feat. Juliander),"Alan Walker, Noah Cyrus & Digital Farm Animals","Alan Walker, Anders Froen, Pablo Bowman, Rick Boardman, Sarah Blanchard & Nicholas Gale",Different World,,,,,,Dance,7172337,198,1,1,10,14.0,2017,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
Darkside,"Alan Walker, Au/Ra & Tomine Harket","Alan Walker, Lars Kristian Rosness, Fredrik Borch Olsen, Marcus Arnbekk, Anders Froen, Gunnar Greve, James Njie, Jesper Borgen, Tommy Laverdi, Atle Pettersen, William Wiik Larsen, Jamie Aura Stenzel & Andrew Frampton",Different World,,,,,,Dance,7535446,211,1,1,11,14.0,2018,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
Alone,Alan Walker,"Alan Walker, Jesper Borgen, Anders Froen, Gunnar Greve & Jonnali Parmenius",Different World,,,,,,Dance,6095643,160,1,1,12,14.0,2016,2022/12/28 12:59,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
