名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
Good Doctor Opening Theme(Inst. Ver),Niyari,Tokuda Masahiro,Good Doctor Opening Theme(Inst. Ver) - Single,,,,,,Instrumental,5058757,138,1,1,1,1.0,2018,2022/12/28 12:52,2023/3/24 22:32,256,44100,,Apple Music AAC音訊檔,,,11.0,2025/5/28 16:57,,,,
Hikari,androp,Takahito Uchisawa,Hikari - Single,,,,,,Rock,8389027,238,1,1,1,1.0,2018,2022/12/28 12:52,2023/3/24 22:32,256,44100,,Apple Music AAC音訊檔,,,18.0,2025/7/6 03:44,,,,
馬と鹿,米津玄師,Kenshi Yonezu,STRAY SHEEP,,,,,,J-Pop,9579926,265,1,1,6,15.0,2019,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/5 20:54,,,,
海の幽霊,米津玄師,Kenshi Yonezu,STRAY SHEEP,,,,,,J-Pop,8283534,234,1,1,14,15.0,2019,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/28 01:40,,,,
Flamingo,米津玄師,Kenshi Yonezu,STRAY SHEEP,,,,,,J-Pop,7275101,196,1,1,2,15.0,2018,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
LOSER,米津玄師,Kenshi Yonezu,LOSER / ナンバーナイン - Single,,,,,,J-Pop,8936100,245,1,1,1,3.0,2016,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/8 14:31,,,,
Uchiagehanabi,DAOKO×米津玄師,Kenshi Yonezu,Uchiagehanabi - Single,,,,,,J-Pop,10101073,289,1,1,1,3.0,2017,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/6 21:03,,,,
Koi,星野源,Gen Hoshino,Koi - EP,,,,,,J-Pop,8827903,253,1,1,1,4.0,2016,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/27 23:15,,,,
Blue Bird,生物股長,Yoshiki Mizuno,Chou Ikimonobakari Tennen Kinen Members Best Selection,,,,,,J-Pop,7726414,215,2,4,3,16.0,2008,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/10 01:04,,,,
Lemon,米津玄師,Kenshi Yonezu,STRAY SHEEP,,,,,,J-Pop,8969137,255,1,1,8,15.0,2018,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/8 15:02,,,,
Can You Celebrate?,安室奈美恵,,Concentration 20,,,,,,J-Pop,13643448,373,1,1,10,12.0,1997,2022/12/28 12:52,,256,44100,,AAC音訊檔,,,,,,,,
Tegami - Haikei Jyugo No Kimie -,Angela Aki,Angela Aki,Answer,,,,,,J-Pop,10860833,312,1,1,1,13.0,2009,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/28 01:31,,,,
HELP,凡人譜,,HELP - EP,,,,,,Mandopop,10597254,286,1,1,1,4.0,2019,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,,,,,,
君が笑えば - Just Like Happiness,凡人譜,,夜は眠れるかい? - EP,,,,,,J-Pop,12139166,353,1,1,2,5.0,2016,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/10 23:05,,,,
素晴らしき嘘 (日本電視台週三連續劇 [知らなくていいコト] 主題曲),凡人譜,,ネバーマインド /  素晴らしき嘘 - Single,,,,,,J-Pop,7856382,221,1,1,2,2.0,2020,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2024/10/13 23:02,,,,
I Found Myself,Zefear & Teya Flow,Andriy Stetsenko,I Found Myself - EP,,,,,,Pop,3679629,96,1,1,1,5.0,2020,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/8 14:20,,,,
Let's Go Far Away,Alpin,Alpin,Let's Go Far Away - Single,,,,,,Pop,7510842,212,1,1,1,3.0,2019,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/27 22:11,,,,
Tomoshibi,Vaundy,VAUNDY,strobo,,,,,,Rock,6614932,178,1,1,2,11.0,2020,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,6.0,2024/8/9 23:47,,,,
大丈夫,RADWIMPS,Yojiro Noda,天気の子 (complete version) - EP,,,,,,Rock,11427263,335,1,1,4,6.0,2019,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2025/5/28 00:32,,,,
パプリカ,米津玄師,Kenshi Yonezu,STRAY SHEEP,,,,,,J-Pop,7303440,202,1,1,5,15.0,2018,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2024/8/8 00:27,,,,
灰色と青 ( + 菅田将暉 ),米津玄師 & 菅田將暉,Kenshi Yonezu,BOOTLEG,,,,,,J-Pop,11710627,332,1,1,14,14.0,2017,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2024/8/8 14:47,,,,
Eine Kleine,米津玄師,Kenshi Yonezu,Yankee,,,,,,J-Pop,9997594,288,1,1,4,15.0,2014,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2024/10/13 23:23,,,,
感電,米津玄師,Kenshi Yonezu,STRAY SHEEP,,,,,,J-Pop,9483482,264,1,1,3,15.0,2020,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2024/8/10 01:09,,,,
ピースサイン - Peace Sign,米津玄師,Kenshi Yonezu,BOOTLEG,,,,,,J-Pop,8701371,238,1,1,3,14.0,2017,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,1.0,2025/5/28 01:21,,,,
orion,米津玄師,Kenshi Yonezu,orion - Single,,,,,,J-Pop,9957899,283,1,1,1,3.0,2017,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/28 00:50,,,,
Flowerwall,米津玄師,Kenshi Yonezu,Bremen,,,,,,J-Pop,10364052,298,1,1,4,14.0,2015,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 22:43,,,,
夜に駆ける,YOASOBI,Ayase,夜に駆ける - Single,,,,,,J-Pop,9849556,261,1,1,1,1.0,2019,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/27 22:19,,,,
カイト,嵐,Kenshi Yonezu,This is 嵐,,,,,,J-Pop,9882942,283,1,1,7,11.0,2020,2022/12/28 12:52,2025/2/26 14:07,256,44100,,Apple Music AAC音訊檔,,,11.0,2025/3/27 00:21,,,,
FUSHIGI,星野源,Gen Hoshino,FUSHIGI - Single,,,,,,Alternative,10211756,290,1,1,1,1.0,2021,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,6.0,2025/5/28 04:14,,,,
Tokiyo,星野源,Gen Hoshino,YELLOW DANCER,,,,,,J-Pop,8919940,255,1,1,1,14.0,2015,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2025/5/28 02:17,,,,
SUN,星野源,Gen Hoshino,YELLOW DANCER,,,,,,J-Pop,8530854,241,1,1,3,14.0,2015,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/8 00:38,,,,
Pale Blue,米津玄師,Kenshi Yonezu,Pale Blue - Single,,,,,,J-Pop,10514970,296,1,1,1,3.0,2021,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2024/8/6 20:58,,,,
Happy End,上白石萌音×内澤崇仁(androp),Takahito Uchisawa,Happy End - Single,,,,,,J-Pop,10329034,288,1,1,1,1.0,2019,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2024/8/9 23:39,,,,
Christmas Song,back number,Iyori Shimizu,Christmas Song - EP,,,,,,J-Pop,11887999,340,1,1,1,6.0,2015,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/29 16:56,,,,
"Merry-Go-Round (from ""Howl's Moving Castle"")",Joe Hisaishi,Joe Hisaishi,Dream Songs: The Essential Joe Hisaishi,,,,,,Classical Crossover,11412663,309,2,2,16,,2005,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/28 00:37,,,,
幽霊東京,Ayase,Ayase,夜撫でるメノウ / 幽霊東京 - Single,,,,,,J-Pop,7776959,210,1,1,2,2.0,2021,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/8 14:23,,,,
六等星の夜 Magic Blue ver.,Aimer,Masahiro Tobiuchi,ONE / 花の唄 / 六等星の夜 Magic Blue ver. - EP,,,,,,J-Pop,12225889,350,1,1,3,4.0,2017,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/28 02:58,,,,
Nijikan Dake No Vacance (feat. Sheena Ringo),宇多田ヒカル,Hikaru Utada,Fantôme,,,,,,J-Pop,10105846,282,1,1,4,11.0,2016,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/28 03:52,,,,
勿忘,Awesome City Club,"ATAGI, Ryo Nagano & PORIN",Grower,,,,,,Rock,8924888,251,1,1,1,10.0,2021,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2024/10/13 23:46,,,,
Glory Days,CNBLUE,"Erik Lidbom, Jung Yong Hwa & youwich",Euphoria,,,,,,Rock,9546375,270,1,1,2,10.0,2016,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/7 01:21,,,,
カタオモイ,Aimer,Takahito Uchisawa,daydream,,,,,,J-Pop,7368851,207,1,1,7,13.0,2016,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2024/8/7 01:36,,,,
Comedy,星野源,Gen Hoshino,Comedy - Single,,,,,,Alternative,8325603,230,1,1,1,1.0,2022,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2024/8/12 01:38,,,,
